"","id","nps","satisfaction","intention","explication","NbPassageKS","CaTicket","t"
"238",46715,9,8,10,NA,11,20.84,13
"239",46765,9,9,9,NA,4,95.75,10
"240",46812,10,9,10,NA,8,53.95,9
"241",46825,NA,10,10,NA,21,116.5,10
"242",46889,10,9,10,NA,16,10,11
"243",47049,10,10,10,NA,5,34.75,11
"244",47071,9,9,10,"satisfait du magasin que jefréquente,mais il se situe assez loin de mon domicile (50km) et est un peu petit pour toute la région. Merci et à bientôt",2,87.7,11
"245",47312,7,9,10,NA,11,6,8
"246",47918,8,10,8,NA,7,66.3,11
"247",48078,10,7,10,NA,18,135.7,8
"248",48150,10,7,10,NA,7,31.75,9
"249",48263,10,10,10,NA,12,24,11
"250",48283,9,8,9,NA,9,56.47,8
"251",48384,10,10,10,"seule remarque : les points sur la carte de fidélité . jen'ai j'mais pu m'en servir . Ils sont automatiquement perdus d'une année sur l'autre . Ne pouvez-vous pas faire comme Cora ?",4,203.75,11
"252",48705,9,9,10,"R A S  Super magasin",4,151.58,12
"253",48898,8,9,9,NA,18,63.6,9
"254",48917,8,7,8,NA,26,73.42,8
"255",49305,9,8,8,NA,16,28.54,11
"256",49671,9,8,10,NA,6,27.46,11
"257",49739,8,7,10,NA,14,259.78,9
"258",50513,10,8,10,NA,11,38.65,10
"259",50819,7,7,7,"Eculy : Ruptures de stock sur produits aliments chiens,caisses pas ergonomiques (code carte banquaire trop loin)et attente (1 ou 2 caiises ouvertes), sinon grand choix et personnes aimables. Merci",15,4.8,10
"260",50930,9,9,9,NA,13,94.6,11
"261",51076,10,8,10,"un espace pour les collectionneurs de succulentes ou bonsai ou ils trouveraient tous les produits ,conseils ,..........en  1 meme endroit",12,49.45,9
"262",51096,10,8,10,NA,27,78.74,11
"263",51262,9,9,9,NA,8,71.58,10
"264",51290,9,8,10,NA,3,73.27,8
"265",51460,9,7,9,NA,19,37.99,8
"266",51507,6,6,6,"Bons produits; certains un peu trop cher !",3,53.58,10
"267",51543,8,8,8,NA,16,43.75,9
"268",51576,8,5,8,NA,2,26.1,9
"269",51613,6,8,9,NA,5,14.79,10
"270",52089,8,8,10,NA,13,77.85,8
"271",52383,10,10,10,NA,18,140.83,9
"272",52420,8,9,10,NA,16,61.74,8
"273",52851,8,6,8,"jene payerai plus pour etre membre, jetrouve que ca n'en vaut pas la peine souvent les plantes que j'achete ont des problemes de petites mouches, fourmis etc. ce que me decourage un peu d'acheter chez vous",3,269.29,9
"274",53111,9,10,8,"le magasin est super  le personnel compétent",15,67.99,10
"275",53128,9,9,9,NA,6,61.9,10
"276",53329,10,10,10,NA,15,52.19,10
"277",53334,8,9,9,"C'est la premiere fois que j'ai attendu aussi longtemps en caisse  les prix reste toujours un peu elev‚  le personnel est tres serviable souriant et donne de bon conseil",14,63.58,8
"278",53464,10,10,10,NA,9,56,10
"279",53678,10,10,10,NA,5,77.63,11
"280",53696,10,10,10,NA,4,10.45,10
"281",53746,8,9,10,"le personnel est tres disponible et competent",21,21.6,10
"282",53856,8,8,10,NA,26,19.9,11
"283",54044,7,7,7,NA,16,14.6,10
"284",54169,7,4,8,"Trop d'attente pour un renseignement. jevoulais un renseignement sur une plante que j'ai acheté l'an dernier, trop d'attente, jesuis partie. Dommage sinon c'est un magasin ou j'aime venir rien d'autre à redire.",3,79.19,9
"285",54202,10,9,10,NA,25,89.34,9
"286",54382,9,9,10,NA,13,471.23,10
"287",54538,10,10,10,NA,12,21.15,9
"288",54734,10,10,10,NA,10,19.89,9
"289",54736,NA,7,NA,NA,9,42.04,10
"290",54846,10,10,10,"certaines personnes ne sont pas souriantes c'est bien dommage d'autre part le fait de laisser des chariots en plein milieu des allées reste p‚nibles car on ne peut acc‚der aux plantes même si jesais que les employ‚s doivent bien faire leur travail",6,55.8,10
"291",55328,10,10,10,"ras",8,78.16,10
"292",55564,8,6,8,NA,4,8.5,10
"293",56039,9,8,9,NA,8,107.94,8
"294",56363,10,10,10,NA,10,0.59,9
"295",56410,8,10,10,"qualité de fraŒcheur très moyenne pour les fruits et l‚gumes",3,67.33,9
"296",56452,7,8,8,NA,7,44.1,11
"297",56565,8,7,10,NA,41,25.95,8
"298",56789,9,9,9,"j'aimerais bien que les bons de réduction ne soient pas à imprimer, mais que nous les recevions par la poste comme par le passé. Ou alors, baissez vos prix en magasin, puisque vous économisezez encre et papier que nous payons en revanche !!",9,19.5,11
"299",57483,8,7,8,NA,5,126.65,10
"300",57676,10,9,10,NA,17,132.7,11
"301",57923,7,6,7,NA,8,41.85,10
"302",58023,9,9,9,NA,2,195.95,8
"303",58175,10,10,10,NA,7,-0.78,11
"304",58309,9,8,8,NA,15,23.95,9
"305",58534,10,9,10,"Le personnel pourrait être un peu plus accueillant et présent pour aider. Trop d'attente à la caisse- à am‚liorer.sinon super magasin.",25,68.53,7
"306",58790,3,5,5,"Quand on est le plus cher sur le marché du jardinage on offre aux clients des produits irréprochables (sacs d'Or Brun de 20 kgs dont le contenu est du ""b‚ton"" pour la consistance).",6,64.85,10
"307",59550,10,9,10,NA,2,41.31,10
"308",59579,10,10,10,NA,12,54.93,10
"309",59726,8,4,8,"Les passages à la caisse ne sont pas aisés...Los de gros achats, il n'est pas facile de les entreposer sur le comptoir de la caisse !",2,31.9,8
"310",60067,10,8,10,"mobilier de jardin onéreux dans la pays de gex",7,79.28,8
"311",60136,1,1,1,"non tout s'est passé sans problème",27,12.93,9
"312",60343,9,9,9,NA,4,2.99,10
"313",60383,8,8,8,NA,19,10.8,11
"314",60625,10,9,10,NA,8,0,9
"315",60728,10,9,10,"lors de ma dernière visite plusieurs articles ‚taient sans prix",7,18.95,9
"316",60913,10,8,10,"j'ai été déçue de ne pas trouvée de coques de cacao pour couvrir mes massifs et  r‚duire ainsi le d‚sherbage !! Peut être pourriez vous y penser dans vos prochaines commandes!!",3,65.83,10
"317",61058,7,8,7,NA,1,54.42,10
"318",61107,10,10,10,NA,6,28.61,11
"319",61350,10,10,10,NA,18,242.9,8
"320",61387,8,8,8,"la qualité à baisser , le personnel toujours à l'écoute et serviable.",7,50.45,9
"321",61472,8,8,8,NA,14,52.6,10
"322",62112,10,8,10,NA,5,80.33,10
"323",62515,5,1,5,"du personnel plus sympathique des prix moins élevés un panel de produits plus important et des horaires d ouverture le midi toute l année",12,44,8
"324",62529,10,10,10,NA,14,61.64,8
"325",62677,8,7,8,NA,5,53.27,10
"326",62712,10,9,9,NA,2,69.34,8
"327",62807,6,5,7,"personnel pas toujours tres agreable",10,27.85,11
"328",62978,9,1,5,NA,5,41.5,10
"329",63104,10,7,10,NA,6,13.95,8
"330",63132,8,8,8,NA,8,17.5,9
"331",63416,9,10,10,NA,11,43.93,10
"332",63714,10,9,10,NA,12,34.55,10
"333",63852,10,8,10,"AUCUNE",23,16.4,11
"334",64232,10,10,10,"Toujours satisfaite de l'accueil mais parfois l'attente pour obtenir un vendeur peut être un peu longue...",4,48.8,10
"335",64777,8,3,7,NA,11,31.4,10
"336",65749,9,8,10,NA,9,39.9,10
"337",65842,10,7,10,NA,6,85.7,10
"338",65866,10,9,10,NA,11,43.8,9
"339",66600,8,8,7,"less prix sont assez chers pas assez de promo",6,55.38,9
"340",66681,10,10,10,NA,2,83.1,8
"341",66933,8,8,8,"AUCUNE",3,62.59,9
"342",67151,9,7,9,NA,2,83.65,9
"343",67443,7,5,10,"Manque de lisibilit‚ des prix. Trop souvent des erreurs de prix à la caisse. Trop d'attente en caisse. Pas de personnel compétant pour répondre aux questions.",12,5,13
"344",67624,10,8,10,NA,8,26.67,9
"345",67702,8,1,10,NA,17,38.7,8
"346",67730,8,8,8,"jetrouve inadmissible en tant que membre du ""club privilège de Botanic de devoir imprimer un bon de réduction reçu par email pour en bénéficier. Cela devrait se faire automatiquement. Encore de la paperasse. Un magasin si créatif, c'est decevant.",3,105.78,13
"347",68113,6,5,5,NA,19,3.01,13
"348",68642,10,10,10,NA,2,200.09,9
"349",68808,10,10,10,"jevous f‚licite pour du personnel de qualité et compétent",27,85.5,10
"350",68854,9,7,10,NA,5,9.98,9
"351",68932,10,10,10,NA,8,63.78,10
"352",69124,9,9,9,NA,5,56.19,10
"353",69342,NA,10,10,NA,10,61.25,13
"354",70212,10,9,10,"j'appécies particulièrement votre d‚marche bio et la combinaison jardin-alimentation",9,4.68,7
"355",70552,6,5,6,"jetrouve les prix pas très sympa et la carte botanic moins bien que avant bof bof les avantages merci",10,70.63,13
"356",70607,10,10,10,NA,15,102.31,13
"357",70953,8,9,10,NA,3,91.91,13
"358",71136,10,8,10,NA,2,23.28,13
"359",72187,10,10,10,NA,6,11.96,10
"360",72871,10,7,8,"cette enseigne devient de plus en plus chère hélas",4,21.94,13
"361",72955,10,10,10,NA,11,67.01,14
"362",73098,10,10,10,NA,9,45.3,9
"363",73365,10,10,10,NA,9,28.35,9
"364",73998,10,10,10,NA,7,84.05,12
"365",74032,10,9,10,"attention à l'animalerie: il n'y a pas que des reptiles heureux chez vous: tortue aquatique notamment.",22,58.93,12
"366",74591,9,9,9,NA,7,218.9,13
"367",74600,10,9,10,NA,13,57.86,13
"368",75016,8,10,10,NA,4,39.26,8
"369",75044,9,8,9,NA,17,26.95,9
"370",75191,10,9,10,NA,12,41.94,8
"371",75501,5,6,5,"vos prix sont beaucoup trop élevés",6,33.82,10
"372",75606,10,10,10,"Quelques belles fleurs coup‚es seraient les bienvenues dans vos magasins.",24,67.9,13
"373",75666,10,8,10,"le magasin est aménagé de façon très agréable, il est clair et spacieux; j'aime beaucoup m'y promener",6,12.99,12
"374",75772,7,7,7,NA,7,71.64,9
"375",75830,8,8,9,"bonjour , jesugere de metre les reduction offerte sur la carte de fidelite comme les grande surface se qui evite de ne pas pouvoir en profiter en cas d'oubli ou perte du coupon telecharger sur internet comme il vient de m'arriver 7 euro de reduction",6,54.46,9
"376",75875,10,7,10,NA,2,20.25,9
